Name,Grade,Location,Description,More Info,Photo
The Acro-Ace,V4,Boulder Canyon,,"- [Mountain Project](https://www.mountainproject.com/route/106527391/the-acro-ace){:target=""_blank""}",
The Traverse,V4,Camp Dick,,,
Treetop Flyer,V5,Camp Dick,,,
Get to the Point,V3,Camp Dick,,,
Dead Telletubbies,V5,Camp Dick,,,
The Orifice,V2,Camp Dick,,,
The Seam,V2,Carter Lake,,,
Sloper Chief,V5,Carter Lake,,,
The Layback (aka Beach Crack),V3,Carter Lake,,,
North Seam,V3,Carter Lake,,,
Scenic Rock - South Line,V4,Carter Lake,,,
Scenic Rock - Standard Route,V3,Carter Lake,,,
Gerbil in a Chute,V3,Castlewood Canyon,,,
Warm-up Wall V1,V1,Castlewood Canyon,,,
Locals Only,V5,Castlewood Canyon,,,
Turd Ball Deux V2 - 1,V2,Castlewood Canyon,,,
Turd Ball Deux V2 - 2,V2,Castlewood Canyon,,,
Left Wall V3,V3,Castlewood Canyon,,,
Aqua Huck,V5,Clear Creek Canyon,,,
Milton,V4,Eldorado Canyon,A classic line on a classic boulder in Eldo. Small holds and tricky movement on a beautiful slab. The boulder sits literally in a the parking area. Very convenient for warming up during the winter conditions needed to make the holds feel good.,,
Gill Face,V2,Eldorado Canyon,A sometimes overlooked line on the Gill Boulder. Well worth doing—especially if you're over trying the slab lines on the south face. Interesting movement off the ground leads to a fun and easier top out. Much cleaner after the downclimb tree fell down.,"- [Mountain Project](https://www.mountainproject.com/route/105992460/gill-face){:target=""_blank""}",
Creek Boulder - East Bulge,V5,Eldorado Canyon,,,
Crankakee,V3,Eldorado Canyon,,,
Over Water Traverse,V1,Eldorado Canyon,,,
The Buddha Belly,V3,Eldorado Canyon,There's not a ton at the Freight Train Boulder but The Buddha Belly is well worth the visit. Unique moves on comfy holds. It's just tall enough to be interesting but there are massive jugs at the top. Flat and clear landing. Bring a couple pads due to the height.,"- [Mountain Project](https://www.mountainproject.com/route/107112182/the-buddha-belly){:target=""_blank""}",
Jaws,V3,Lumpy Ridge,An insanely cool feature (looks like a shark!) that begs to be climbed. The holds are a bit sharp but the moves are fun. Did I mention it looks like a shark?!,"- [Mountain Project](https://www.mountainproject.com/route/105749368/jaws){:target=""_blank""}",
Tooth Boulder Arete,V0,Lumpy Ridge,A less slabby (but still very technical!) cousin to the slab around the corner. Slap your way up the arete until you hit a monster jug at the top. A bit sharp but fun!,"- [Mountain Project](https://www.mountainproject.com/route/105749365/tooth-arete){:target=""_blank""}
- [Colorado Bouldering: Front Range](https://stores.sharpendbooks.com/colorado-bouldering-front-range/){:target=""_blank""}",
Tooth Boulder Slab,V0,Lumpy Ridge,"Bring your slab slippers to prance up this thing. Or, if you're like me, climb it like a vert face and shred your fingers while over gripping the sharp crystals. Such a classic feature in the middle of the boulder field. A fall from the top would be a bit sketchy (run backward down the slab?).","- [Mountain Project](https://www.mountainproject.com/route/105749362/tooth-slab){:target=""_blank""}
- [Colorado Bouldering: Front Range](https://stores.sharpendbooks.com/colorado-bouldering-front-range/){:target=""_blank""}",https://pub-512d85031b1440409fe8612f837b8235.r2.dev/the_tooth_boulder_slab.jpeg
The World's Greatest Boulder V3,V3,Lumpy Ridge,,,
Best Boulder V5,V5,Estes Park,,,
Western Spring Boulder V3,V3,Estes Park,,,
Cryin' Out Loud,V5,Estes Park,,,
The Consideration,V4,Flagstaff,,,
Hagan's Wall,V5,Flagstaff,Don't let the weird start moves off the boulder deter you. Eventually the beta materializes and you'll be happy to tick this Flagstaff classic.,,
Monkey Traverse,V4,Flagstaff,,,
The Pillar,V2,Flagstaff,Intro to refrigerator slapping! Fun powerful moves and heel hooks on jugs. Lowball but a tiered landing that can be a tad complicated to protect.,"- [Mountain Project](https://www.mountainproject.com/route/107514862/the-pillar){:target=""_blank""}",
Shark's Arete,V3,Flagstaff,"An obvious striking line as you walk around the Great Ridge area. Some interesting moves down low lead to some monster jugs in the second half.

The boulder feels a bit airy up top and it will be just on the edge of ""safe"" for some due to its height. That said, the landing is completely flat and the top out is on great jugs.","- [Mountain Project](https://www.mountainproject.com/route/105811319/shark-arete){:target=""_blank""}",
Pratt's Mantel,V2,Flagstaff,,,
That Flakes It,V4,Flagstaff,,,
Beer Barrel - Southwest Corner,V0,Flagstaff,"Fun moves on comfy holds. One of the rare high-quality and not highball V0s at Flagstaff.

Despite looking like 100% jugs at the top, the topout involves some slopers. Bring a couple pads to protect the rocky (but safe) landing.","- [Mountain Project](https://www.mountainproject.com/route/105749257/southwest-prow){:target=""_blank""}",
Cave Hang,V0,Flagstaff,,,
Red Wall - Center Left,V4,Flagstaff,,,
Red Wall - Standard Route,V4,Flagstaff,,,
Eric Varney Direct,V5,Flagstaff,"A big ol' power move off the soap dish packs a bit of nuance. Great landing, juggy top out, good hang.

A lower start earns you extra V points.","- [Mountain Project](https://www.mountainproject.com/route/105749266/eric-varney-direct){:target=""_blank""}",
Red Wall - Right Side,V5,Flagstaff,,,
Three of a Kind Traverse,V4,Flagstaff,,,
Face Out,V5,Flagstaff,,,
Original Grapple,V4,Flatirons,"Fun roof climbing with power moves and heel hook trickery.

A blubber pad is useful to protect the dabby boulder in the landing.","- [Mountain Project](https://www.mountainproject.com/route/105751345/original-grapple){:target=""_blank""}",
BBC - South Warmup,V0,Flatirons,"If you've been to the Satellites, you've probably warmed up on this. One of the few V0s around that feels like a proper jug haul warmup. Monster jugs topping out to a perfect view of Boulder is icing on the cake. ","- [Mountain Project](https://www.mountainproject.com/route/105757876/south-warmup){:target=""_blank""}",
Aerogel V3 Variation,V3,Flatirons,"As you walk up the final stretch to the main Satellites cluster, this boulder begs to be climbed. There are a number of variations on the boulder but the V3 variation (big huck to the horn from the sloper) is the best.","- [Mountain Project poorly describes a V5 variation](https://www.mountainproject.com/route/105751348/aerogel){:target=""_blank""}",
Major Tom,V3,Flatirons,"Despite technically being an eliminate, Major Tom is fun and worthwhile. Tall folks can statically reach the good sloper. Shorter folks might need to huck.

This boulder isn't tall but the landing is a bit rocky. Some accessory pads are nice to fill holes and build a flat landing.","- [Mountain Project](https://www.mountainproject.com/route/105757477/major-tom){:target=""_blank""}",
A7 V1,V1,Flatirons,"Heel hooking, toe hooking goodness. Getting to the lip is the crux. Do a couple hip stretches before pulling on.","- [Mountain Project](https://www.mountainproject.com/route/105752380/a7-v1){:target=""_blank""}",
Sputnik One,V1,Flatirons,,,
Burgundy Boulder V4,V4,Flatirons,,,
The Common Front Range Flying Squirrel,V4,Flatirons,,,
S&M,V4,Flatirons,,,
Hueco Simulator,V4,Flatirons,,,
Spina Bifida,V5,Flatirons,,,
Ghetto Homos,V3,Flatirons,,,
Skin Poppin Sluts,V3,Flatirons,,,
Lip Traverse,V4,Flatirons,,,
Violent Opposition,V5,Flatirons,,,
One Trick Pony,V5,Flatirons South,,,
Mr. Gronky,V5,Flatirons South,,,
The Flying Overhang,V3,Green Mountain,"A proud moderate arete hidden in the forest.

Easy to find once you know where it is. Maybe bring a lunch if you're exploring the boulders on Green Mountain for the first time.

The landing is a mildly rocky and trends downhill. I'd recommend a few pads and a spotter.","- [Colorado Bouldering: Front Range](https://stores.sharpendbooks.com/colorado-bouldering-front-range/){:target=""_blank""}",
The Groove,V3,Green Mountain,,,
Crystal Scoop,V4,Green Mountain,,,
Socrate's Overhang,V5,Green Mountain,,,
Boar's Nest,V5,Gross Reservoir,,,
Daisy Duke,V5,Gross Reservoir,,,
Scott's Dyno,V3,Gross Reservoir,,,
Bootie,V1,Horsetooth Reservoir,,,
Right Eliminator Prow,V4,Horsetooth Reservoir,,,
Right Eliminator,V3,Horsetooth Reservoir,,,
Right Eliminator Left,V4,Horsetooth Reservoir,,,
Pinch Overhang,V5,Horsetooth Reservoir,,,
Mental Block - Standard,V4,Horsetooth Reservoir,,,
Ironsides,V2,Horsetooth Reservoir,,,
The Nipple,V3,Horsetooth Reservoir,,,
The Scoop,V3,Horsetooth Reservoir,,,
Hamburger,V4,Lion's Den,"Beta: crimp, crimp, crimp. The most obvious (and fun) line bails right a bit at the top.

A flat landing full of pine needles inspires confidence.","- [Mountain Project](https://www.mountainproject.com/route/106658412/hamburger){:target=""_blank""}",
Cheeseburger,V4,Lion's Den,Powerful moves lead to a challenging top out. Be ready for some proper mantling on slopers.,"- [Mountain Project](https://www.mountainproject.com/route/106657881/cheeseburger){:target=""_blank""}",
Double Arete,V5,Morrison,,,
Breashear's Crack,V2,Morrison,If you find yourself in the Black Hole (not generally recommended) this will be the first boulder you do. High-quality rock and interesting moves balance out the spray down you'll get from the crews that seems to live in the cave.,"- [Mountain Project](https://www.mountainproject.com/route/105755029/breashears-crack){:target=""_blank""}",
Squirming Coil,V5,Morrison,,,
In The Beginning,V1,Morrison,,,
The Dihedrals V4,V4,Morrison,,,
Hatchery Rock V3 - 1,V3,Poudre Canyon,,,
Hatchery Rock V3 - 2,V3,Poudre Canyon,,,
Hatchery Rock V5,V5,Poudre Canyon,,,
King Fin,V4,Poudre Canyon,,,
Hank's Lunge,V5,Poudre Canyon,,,
Mr. Harry,V5,Poudre Canyon,,,
Johnny and Hodgy,V5,Poudre Canyon,,,
Johnny and Hodgy V0,V0,Poudre Canyon,,,
It's Ice,V4,Poudre Canyon,,,
Yosemite Arete,V1,Poudre Canyon,,,
Simian Adventure,V5,South St. Vrain,,,
Guiding Light,V3,Three Sisters,"Classic! Tricky footwork up high can make this feel a bit committing.

The easiest top out (very large jugs) swings right and is no longer above the flat landing zone.","- [Mountain Project](https://www.mountainproject.com/route/106484362/guiding-light-aka-round-up){:target=""_blank""}",
Dihedral Problem,V2,Three Sisters,"An obvious line that sucks most parties in as they walk past. Some tricky beta down low is fun to unlock. From there, you get powerful moves on big holds. A worthwhile stop on the Three Sisters moderate circuit.","- [Mountain Project](https://www.mountainproject.com/route/106257778/dihedral-problem){:target=""_blank""}",
Sad Face,V2,Three Sisters,A nice reprieve from the small sharp holds of Three Sisters. Steep climbing on big holds leads to a surprisingly interesting topout.,"- [Mountain Project](https://www.mountainproject.com/route/106462897/the-sad-face){:target=""_blank""}",
The Lukes,V4,Three Sisters,"A perfect line of crimps leads to a nuanced topout. A dark horse contender for top five V4s on the Front Range? Get on it and decide for yourself!

Can be tricky to find but it's worth the wander. Up and around the corner lookers right from the Piano boulder.

The top can hold snow in the winter and seep for quite a while.","- [Mountain Project](https://www.mountainproject.com/route/106490898/the-lukes-aka-loyalty-to-skill){:target=""_blank""}",
The Captain,V5,Three Sisters,,"- [Mountain Project](https://www.mountainproject.com/route/106438889/the-captain){:target=""_blank""}",
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,, ,,
